Price,Ticker,mean_return,volatility,cumulative_return,sharpe_ratio,sortino_ratio,max_drawdown,var_95,beta,liquidity,hierarchical_cluster,gmm_cluster,dbscan_cluster
Close,AON,-0.44071904843155313,-0.5096401743158531,0.261433769415434,0.8775824796407405,0.5863101566873532,0.9840457530277047,0.5513501314686619,-0.4701392152626183,-0.11540426347269145,0,2,0
Close,AOS,-0.5248167870188127,-0.4902847467809084,-0.4684235260166334,-1.705749115836011,-1.1990304565937069,0.6240508315663231,0.493536642544395,-0.4619069572911021,-0.11542138733722816,3,0,0
Close,APA,-0.529845381052674,-0.4377099154479503,-0.7051616113211427,-1.5203161298834924,-1.1031066574591943,-1.364142879860462,0.39519498227733063,-0.46814620637086496,-0.11542431031556741,8,0,0
Close,APD,-0.4489694350651762,-0.4915737997623215,-0.08393179885905463,0.1994421429237119,-0.05336810983971849,1.2942420302051418,0.5454443279202332,-0.47448149155554314,-0.11540548156895912,0,2,0
Close,APH,-0.47779820301656867,-0.46003455646954855,0.36468536827328196,-0.6209137163687919,-0.6859830323134253,1.036153218965412,0.4604802554879933,-0.4855751287228146,-0.11542359823687438,3,8,0
Close,APO,-0.4195225162621333,-0.4499004924655805,1.4914280737644503,0.4537833855526085,-0.1428700299138762,0.3267052030043449,0.45825630495841124,-0.4364140804609667,-0.1154213671487464,2,8,0
Close,APTV,-0.4987057944011667,-0.45273841349013305,-0.6370029217527186,-0.9986359096972824,-0.8431886443736203,-0.44260093247714416,0.47000215664529016,-0.47218189912734104,-0.11541777179886274,8,0,0
Close,ARE,-0.5187416901876069,-0.488002967848016,-0.5726152575176574,-1.565896447048089,-1.2220829330107843,0.20561430675328984,0.47736672920007384,-0.4613381924661181,-0.1154149154352035,3,6,0
Close,ATO,-0.4466517280917972,-0.5180099737915524,-0.17278886080800432,0.9792624852782528,0.27871278641461766,1.2432411322321073,0.5509929384532248,-0.47179299697703514,-0.11541768034256764,0,2,0
Close,AVB,-0.4715398056119444,-0.5055582895326266,-0.3272120510496472,-0.17707952074890201,-0.3422526978843713,0.6193852082588053,0.5252689759758642,-0.47909980689367243,-0.11541088805630988,3,6,0
Close,AVGO,-0.4219347479046606,-0.3739246482636355,3.066866867442419,-0.13734937549180337,-0.37757095758861187,0.557495435366543,0.34822320515184135,-0.47727388088007633,-0.11542135018108668,4,5,0
Close,AVY,-0.520682077428284,-0.5028227034019169,-0.2626792479705406,-1.7935164601590776,-1.274107208153932,0.7704312642953098,0.5145022339058006,-0.4699242050130696,-0.1154126443620343,3,6,0
Close,AWK,-0.4962897437583529,-0.5044409635437395,-0.32858144129409483,-1.0228181092483972,-0.8836779996163121,1.0565037166653641,0.5187453316572411,-0.4701920182974437,-0.11541534117117652,3,6,0
Close,AXON,-0.32856442865968627,-0.4129964299431733,8.756583152136473,1.1854761349855718,1.290344179872968,0.10109840201403887,0.48149586788288967,-0.5004696258815097,-0.11541201361609549,9,4,-1
Close,AXP,-0.43127565198296647,-0.47938563239632714,0.4152836375381185,0.6664129860646989,0.036089616292679136,0.49785348001344387,0.48234108707059575,-0.45222775979265645,-0.1154132237731005,0,2,0
Close,AZO,-0.4546727168445413,-0.5026850799772189,0.8333269391203382,0.37752583537559703,0.22372248472734252,0.8318688819775519,0.5441793311349975,-0.4654186040830087,-0.11526309877975424,2,2,0
Close,BA,-0.4895049629983024,-0.4597196172348958,-0.6809671523247736,-0.8285930007038745,-0.7667249019614655,-0.7623369981942859,0.4454596729096491,-0.4760147787576452,-0.11540469048959276,8,6,0
Close,BAC,-0.4575051303959742,-0.4910557673677455,-0.21623405525681838,0.07640797757689845,-0.14460669438945753,0.528674489739974,0.5161472517067724,-0.44303853371721397,-0.11542400011198828,0,2,0
