Date,AAPL,ADBE,AMZN,GOOGL,META,MSFT,NFLX,NVDA,TSLA,^GSPC
2023-06-22,185.5928955078125,477.5799865722656,130.14999389648438,122.7051773071289,283.7958984375,335.79461669921875,422.4800109863281,43.0054817199707,264.6099853515625,4381.89013671875
2023-06-23,185.27529907226562,484.7200012207031,129.3300018310547,121.89810943603516,287.6312561035156,331.15863037109375,424.0199890136719,42.189849853515625,256.6000061035156,4348.330078125
2023-06-26,183.8759002685547,479.510009765625,127.33000183105469,117.91255187988281,277.4103088378906,324.81268310546875,415.94000244140625,40.613563537597656,241.0500030517578,4328.81982421875
2023-06-27,186.6448974609375,489.2699890136719,129.17999267578125,117.90260314941406,285.9576721191406,330.7138366699219,417.0799865722656,41.85700225830078,250.2100067138672,4378.41015625
2023-06-28,187.82594299316406,482.42999267578125,129.0399932861328,119.74591064453125,284.20440673828125,331.9791259765625,429.8399963378906,41.09834289550781,256.239990234375,4376.85986328125
2023-06-29,188.16339111328125,483.7699890136719,127.9000015258789,118.66981506347656,280.4586486816406,331.18829345703125,428.239990234375,40.8034782409668,257.5,4396.43994140625
2023-06-30,192.5104522705078,488.989990234375,130.36000061035156,119.26764678955078,285.887939453125,336.6150207519531,440.489990234375,42.282806396484375,261.7699890136719,4450.3798828125
2023-07-03,191.0118408203125,485.2099914550781,130.22000122070312,119.46692657470703,284.9315490722656,334.0943908691406,441.44000244140625,42.39375305175781,279.82000732421875,4455.58984375
2023-07-05,189.89031982421875,487.260009765625,130.3800048828125,121.31024169921875,293.249755859375,334.2525329589844,445.8999938964844,42.29780578613281,282.4800109863281,4446.81982421875
2023-07-06,190.36668395996094,481.2900085449219,128.36000061035156,119.67615509033203,290.87884521484375,337.3366394042969,438.8399963378906,42.083900451660156,276.5400085449219,4411.58984375
2023-07-07,189.2451934814453,485.2699890136719,129.77999877929688,119.04844665527344,289.4244079589844,333.3332824707031,438.1000061035156,42.48371505737305,274.42999267578125,4398.9501953125
2023-07-10,187.19078063964844,496.3500061035156,127.12999725341797,116.02938079833984,292.9808349609375,328.0054016113281,441.7099914550781,42.16086196899414,269.6099853515625,4409.52978515625
2023-07-11,186.6647491455078,504.739990234375,128.77999877929688,116.71688842773438,297.1548767089844,328.6380615234375,440.2099914550781,42.38576126098633,269.7900085449219,4439.259765625
2023-07-12,188.342041015625,507.3599853515625,130.8000030517578,118.50042724609375,308.1628112792969,333.3135681152344,444.04998779296875,43.882080078125,271.989990234375,4472.16015625
2023-07-13,189.1062469482422,517.280029296875,134.3000030517578,124.09016418457031,312.2173156738281,338.7106018066406,450.3800048828125,45.956146240234375,277.8999938964844,4510.0400390625
2023-07-14,189.255126953125,514.8300170898438,134.67999267578125,124.96698760986328,307.6946105957031,341.2608642578125,441.9100036621094,45.4483757019043,281.3800048828125,4505.419921875
2023-07-17,192.53028869628906,522.0,133.55999755859375,124.19976806640625,309.4379577636719,341.7452392578125,450.04998779296875,46.439918518066406,290.3800048828125,4522.7900390625
